code,ric
POOL,POOL.O
STX,STX.O
COO,COO
BR,BR
TER,TER.O
TRMB,TRMB.O
MOH,MOH
KMX,KMX
BBY,BBY
AKAM,AKAM.O
CLX,CLX
DGX,DGX
DRI,DRI
VFC,VFC
CAG,CAG
EVRG,EVRG.K
SEDG,SEDG.O
ATO,ATO
GRMN,GRMN.K
NTAP,NTAP.O
IRM,IRM
LNT,LNT.O
XYL,XYL
PKG,PKG
TXT,TXT
CAH,CAH
FMC,FMC
OMC,OMC
WRB,WRB
PAYC,PAYC.K
IEX,IEX
LDOS,LDOS.K
AVY,AVY
TYL,TYL
AES,AES
DPZ,DPZ
NVR,NVR
HST,HST.O
NLOK,NLOK.O
EMN,EMN
VTRS,VTRS.O
FDS,FDS
BXP,BXP
PEAK,PEAK.K
JBHT,JBHT.O
CPT,CPT
LKQ,LKQ.O
TECH,TECH.O
SJM,SJM
UAL,UAL.O
INCY,INCY.O
MAS,MAS
UDR,UDR
SBNY,SBNY.O
JKHY,JKHY.O
CHRW,CHRW.O
HWM,HWM
BRO,BRO
KIM,KIM
MGM,MGM
HRL,HRL
LYV,LYV
TFX,TFX
WRK,WRK
BF-B,BFb
CTXS,CTXS.O
LVS,LVS
L,L
CBOE,CBOE.K
PTC,PTC.O
IPG,IPG
SNA,SNA
NI,NI
NDSN,NDSN.O
ABMD,ABMD.O
AAP,AAP
HSIC,HSIC.O
QRVO,QRVO.O
CRL,CRL
HAS,HAS.O
NRG,NRG
BIO,BIO
PHM,PHM
RCL,RCL
RE,RE
CZR,CZR.O
FOXA,FOXA.O
LUMN,LUMN.K
ETSY,ETSY.O
CMA,CMA
MKTX,MKTX.O
WHR,WHR
AIZ,AIZ
AAL,AAL.O
TAP,TAP
LW,LW
RHI,RHI
ALLE,ALLE.K
FFIV,FFIV.O
JNPR,JNPR.K
CPB,CPB
REG,REG.O
FBHS,FBHS.K
BWA,BWA
CCL,CCL
BBWI,BBWI.K
OGN,OGN
LNC,LNC
SEE,SEE
TPR,TPR
NLSN,NLSN.K
GL,GL
UHS,UHS
DXC,DXC
HII,HII
XRAY,XRAY.O
ZION,ZION.O
PNW,PNW
PNR,PNR
AOS,AOS
MHK,MHK
ROL,ROL
NWL,NWL.O
CDAY,CDAY.K
FRT,FRT
BEN,BEN
WYNN,WYNN.O
NWSA,NWSA.O
